MoleculeListName,Molecule,MolecularFormula,PrecursorMz,PrecursorAdduct,PrecursorCharge,ProductName,ProductMz,ProductCharge,ExplicitRetentionTime,ExplicitRetentionTimeWindow,TransitionNote
Lc_136_195,Lc_136_195_K145_K188_K190,C302H464N80O107S,1160.224722,[M+6H],6,b018_b049_z006_m03,558.773705885151,6,44.72,0.710000000000001,C138H232N38O58S0
Lc_136_195,Lc_136_195_K145_K188_K190,C302H464N80O107S,1160.224722,[M+6H],6,b018_b049_z006_m04,558.940790396371,6,44.72,0.710000000000001,C138H232N38O58S0
Lc_136_195,Lc_136_195_K145_K188_K190,C302H464N80O107S,1160.224722,[M+6H],6,b018_b050_z002_m00,1730.31590673519,2,44.72,0.710000000000001,C142H233N39O61S0
Lc_136_195,Lc_136_195_K145_K188_K190,C302H464N80O107S,1160.224722,[M+6H],6,b018_b050_z002_m01,1730.81736989524,2,44.72,0.710000000000001,C142H233N39O61S0
Lc_136_195,Lc_136_195_K145_K188_K190,C302H464N80O107S,1160.224722,[M+6H],6,b018_b050_z002_m02,1731.31874204316,2,44.72,0.710000000000001,C142H233N39O61S0
Lc_136_195,Lc_136_195_K145_K188_K190,C302H464N80O107S,1160.224722,[M+6H],6,b018_b050_z002_m03,1731.82003771422,2,44.72,0.710000000000001,C142H233N39O61S0
Lc_136_195,Lc_136_195_K145_K188_K190,C302H464N80O107S,1160.224722,[M+6H],6,b018_b050_z002_m04,1732.3212921248,2,44.72,0.710000000000001,C142H233N39O61S0
Lc_136_195,Lc_136_195_K145_K188_K190,C302H464N80O107S,1160.224722,[M+6H],6,b018_b050_z003_m00,1153.87969664086,3,44.72,0.710000000000001,C142H234N39O61S0
Lc_136_195,Lc_136_195_K145_K188_K190,C302H464N80O107S,1160.224722,[M+6H],6,b018_b050_z003_m01,1154.21400546603,3,44.72,0.710000000000001,C142H234N39O61S0
Lc_136_195,Lc_136_195_K145_K188_K190,C302H464N80O107S,1160.224722,[M+6H],6,b018_b050_z003_m02,1154.54825360913,3,44.72,0.710000000000001,C142H234N39O61S0
Lc_136_195,Lc_136_195_K145_K188_K190,C302H464N80O107S,1160.224722,[M+6H],6,b018_b050_z003_m03,1154.88245076622,3,44.72,0.710000000000001,C142H234N39O61S0
Lc_136_195,Lc_136_195_K145_K188_K190,C302H464N80O107S,1160.224722,[M+6H],6,b018_b050_z003_m04,1155.21662040116,3,44.72,0.710000000000001,C142H234N39O61S0
